priority,photo_subject,coverage_group,consumption_anchor,evidence_tier,image_status,selected_source_page_url,review_notes
21,Egg and rice plate,egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
22,Egg pandesal sandwich,egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
23,"Hotdog, egg and rice",egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
24,Longsilog,egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
25,Tapsilog,egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
26,Tocilog,egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
27,Corned beef silog,egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
28,Tuna omelette,egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
29,Tortang talong,egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
30,Peanut butter pandesal,egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
31,Banana oatmeal,egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
32,Lean pork and rice,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
33,Pork adobo and rice,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
34,Sinigang na baboy,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
35,Pork menudo and rice,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
36,Nilagang baboy,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
37,Pork chop and rice,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
38,Grilled liempo and rice,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
39,Inihaw na baboy,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
40,Tocino and rice,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
41,Longganisa and rice,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
42,Hotdog and rice,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
43,Pork sisig and rice,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
44,Bistek Tagalog and rice,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
45,Beef tapa and rice,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
46,Beef nilaga,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
47,Beef caldereta and rice,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
48,Pork giniling and rice,pork-and-beef,lean pork; pork belly/liempo; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
49,Fried chicken and rice,chicken,white chicken meat,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
50,Chicken adobo and rice,chicken,white chicken meat,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
51,Tinolang manok,chicken,white chicken meat,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
52,Chicken inasal and rice,chicken,white chicken meat,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
53,Chicken afritada and rice,chicken,white chicken meat,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
54,Chicken curry and rice,chicken,white chicken meat,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
55,Grilled chicken and rice,chicken,white chicken meat,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
56,Chicken vegetable soup,chicken,white chicken meat,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
57,Chicken sandwich,chicken,white chicken meat,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
58,Chicken macaroni soup,chicken,white chicken meat,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
59,Chicken and vegetable stir-fry,chicken,white chicken meat,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
60,"Chicken, potato and carrot stew",chicken,white chicken meat,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
61,Roast chicken and rice,chicken,white chicken meat,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
62,Fried galunggong and rice,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
63,Grilled galunggong and rice,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
64,Grilled bangus and rice,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
65,Fried bangus and rice,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
66,Daing na bangus and rice,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
67,Paksiw na bangus,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
68,Rellenong bangus and rice,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
69,Fried tilapia and rice,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
70,Grilled tilapia and rice,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
71,Paksiw na tilapia,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
72,Canned sardines in tomato sauce with rice,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
73,"Sardines, egg and rice",fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
74,Tuna rice bowl,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
75,Tuna sandwich,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
76,"Dried fish, egg and rice",fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
77,Sinigang na hipon,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
78,"Grilled fish, vegetables and rice",fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
79,Fish soup and rice,fish-and-seafood,galunggong; bangus; tilapia; canned sardines; tuna; tuyong tamban,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
80,Ginisang munggo and rice,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
81,Munggo with malunggay,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
82,Pinakbet and rice,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
83,Chop suey and rice,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
84,Ensaladang talong,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
85,Ginataang kalabasa at sitaw,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
86,Sauteed pechay and rice,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
87,Cabbage and carrot stir-fry,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
88,Okra and tomato,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
89,Malunggay vegetable soup,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
90,Ginisang sayote,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
91,Tofu and vegetables with rice,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
92,Tokwa and rice,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
93,Vegetable fried rice,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
94,Boiled sweet potato,vegetables-and-legumes,talong; malunggay; sitaw; kalabasa; carrot; repolyo; okra; dahon ng kamote,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
95,Ham and cheese sandwich,common-global-light-meals,contextual urban/common-food coverage; not claimed as a 2021 top-food ranking,SECONDARY_CONTEXTUAL,IMAGE_SEARCH_PENDING,,
96,Peanut butter sandwich,common-global-light-meals,contextual urban/common-food coverage; not claimed as a 2021 top-food ranking,SECONDARY_CONTEXTUAL,IMAGE_SEARCH_PENDING,,
97,Burger,common-global-light-meals,contextual urban/common-food coverage; not claimed as a 2021 top-food ranking,SECONDARY_CONTEXTUAL,IMAGE_SEARCH_PENDING,,
98,Breakfast cereal with milk,common-global-light-meals,contextual urban/common-food coverage; not claimed as a 2021 top-food ranking,SECONDARY_CONTEXTUAL,IMAGE_SEARCH_PENDING,,
99,Plain oatmeal,common-global-light-meals,contextual urban/common-food coverage; not claimed as a 2021 top-food ranking,SECONDARY_CONTEXTUAL,IMAGE_SEARCH_PENDING,,
100,Fruit and yogurt bowl,common-global-light-meals,contextual urban/common-food coverage; not claimed as a 2021 top-food ranking,SECONDARY_CONTEXTUAL,IMAGE_SEARCH_PENDING,,
