pool_rank,proposed_meal_name,review_status,provider,source_title,source_page_url,original_url,thumbnail_url,creator,credit,license,license_url,attribution_required,width,height,description,catalogue_fit_notes
19,Chicken Pastil,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Chicken Pastil.jpg,https://commons.wikimedia.org/wiki/File:Chicken_Pastil.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cb/Chicken_Pastil.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cb/Chicken_Pastil.jpg/960px-Chicken_Pastil.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,ShmilyDigital,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,8160,6144,"Chicken Pastil with boiled egg, slice tomato and cucumber topped with fried garlic and slice siling labuyo",
20,Chicken Pork Laing,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Chicken Pork Laing.jpg,https://commons.wikimedia.org/wiki/File:Chicken_Pork_Laing.jpg,https://upload.wikimedia.org/wikipedia/commons/0/04/Chicken_Pork_Laing.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/04/Chicken_Pork_Laing.jpg/960px-Chicken_Pork_Laing.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,ShmilyDigital,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,4000,6000,Chicken Pork Laing,
21,Chicken Tenderloin Tips,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Chicken Tenderloin Tips.jpg,https://commons.wikimedia.org/wiki/File:Chicken_Tenderloin_Tips.jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/Chicken_Tenderloin_Tips.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/30/Chicken_Tenderloin_Tips.jpg/960px-Chicken_Tenderloin_Tips.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,ShmilyDigital,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,8160,6144,Chefs Kitchen Retro 3 Rinconada's Chicken Tenderloin Tips with rice and mixed veggies,
22,Chop suey,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Chop suey.jpg,https://commons.wikimedia.org/wiki/File:Chop_suey.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Chop_suey.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6e/Chop_suey.jpg/960px-Chop_suey.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,JeffDelfin45,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,1280,844,Chop suey is a stir-fried vegetable dish that is cooked with meats such as chicken and pork.,
23,Crab Fuyong,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Crab Fuyong.jpg,https://commons.wikimedia.org/wiki/File:Crab_Fuyong.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dc/Crab_Fuyong.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dc/Crab_Fuyong.jpg/960px-Crab_Fuyong.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Louiesemendez,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,3264,4896,Crab fuyong for new year's eve.,
24,Creamy Kare-Kare,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Creamy Kare-Kare.jpg,https://commons.wikimedia.org/wiki/File:Creamy_Kare-Kare.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Creamy_Kare-Kare.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/84/Creamy_Kare-Kare.jpg/960px-Creamy_Kare-Kare.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,JeffDelfin45,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,1062,1280,Kare-Kare is a traditional Filipino dish consisting of oxtail and vegetables within a creamy peanut butter sauce.,
25,Creamy Mushroom Chicken,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Creamy Mushroom Chicken.jpg,https://commons.wikimedia.org/wiki/File:Creamy_Mushroom_Chicken.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8d/Creamy_Mushroom_Chicken.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8d/Creamy_Mushroom_Chicken.jpg/960px-Creamy_Mushroom_Chicken.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Louiesemendez,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,4896,3264,Baked creamy mushroom chicken for new year's eve.,
26,Crispy Pancit Bato,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Crispy Pancit Bato.jpg,https://commons.wikimedia.org/wiki/File:Crispy_Pancit_Bato.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b4/Crispy_Pancit_Bato.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b4/Crispy_Pancit_Bato.jpg/960px-Crispy_Pancit_Bato.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Filipinayzd,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,1376,1033,"Crispy Pancit Bato - the grand winner for the cooking competition during the Pagsasatubuanan: Exploring Rinconada Food Heritage hails from the College of Technological and Developmental Education, Camarines Sur Polytechnic Colleges at Nabua, Camarines Sur. Team members: Jan Harvey Bustarga Lorraine Gratil Coach: Dr. Mitch Lomeda-Junio",
27,"Ensaladang talbos ng kamote ,Tuyo at Pritong itlog",NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,"File:Ensaladang talbos ng kamote ,Tuyo at Pritong itlog.jpg","https://commons.wikimedia.org/wiki/File:Ensaladang_talbos_ng_kamote_,Tuyo_at_Pritong_itlog.jpg",https://upload.wikimedia.org/wikipedia/commons/3/3a/Ensaladang_talbos_ng_kamote_%2CTuyo_at_Pritong_itlog.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3a/Ensaladang_talbos_ng_kamote_%2CTuyo_at_Pritong_itlog.jpg/960px-Ensaladang_talbos_ng_kamote_%2CTuyo_at_Pritong_itlog.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Anneclicks,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,3154,2448,Ensaladang Talbos ng Kamote is a nutritious and delicious sweet potato leaves salad with a simple vinaigrette dressing. It's easy to prepare and makes a great side dish with fried fish or Fri d eggs.,
28,Ensaladang talong,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Ensaladang talong.jpg,https://commons.wikimedia.org/wiki/File:Ensaladang_talong.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Ensaladang_talong.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/Ensaladang_talong.jpg/960px-Ensaladang_talong.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Louiesemendez,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,4896,3264,Ensaladang talong na may kamatis at pulang itlog at inihaw na mais.,
29,Fish Fillet Fingers,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Fish Fillet Fingers.jpg,https://commons.wikimedia.org/wiki/File:Fish_Fillet_Fingers.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Fish_Fillet_Fingers.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7d/Fish_Fillet_Fingers.jpg/960px-Fish_Fillet_Fingers.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,ShmilyDigital,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,6000,4000,Fish Fillet Fingers served with lettuce,
30,Fried Kikiam,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Fried Kikiam.jpg,https://commons.wikimedia.org/wiki/File:Fried_Kikiam.jpg,https://upload.wikimedia.org/wikipedia/commons/d/de/Fried_Kikiam.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/de/Fried_Kikiam.jpg/960px-Fried_Kikiam.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,ShmilyDigital,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,6144,8160,Fried kikiam on stick with sweet sauce,
31,Fried rice fusion with siomai,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Fried rice fusion with siomai.jpg,https://commons.wikimedia.org/wiki/File:Fried_rice_fusion_with_siomai.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b4/Fried_rice_fusion_with_siomai.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b4/Fried_rice_fusion_with_siomai.jpg/960px-Fried_rice_fusion_with_siomai.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Phenheart,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,2448,3264,A Filipino cuisine with different species and vegetables its a pair for a comfortfood like siomai all time fastfood all in one meal.,
32,Ginataang Pinakbet with lambay(crab),NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Ginataang Pinakbet with lambay(crab).jpg,https://commons.wikimedia.org/wiki/File:Ginataang_Pinakbet_with_lambay(crab).jpg,https://upload.wikimedia.org/wikipedia/commons/0/05/Ginataang_Pinakbet_with_lambay%28crab%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/05/Ginataang_Pinakbet_with_lambay%28crab%29.jpg/960px-Ginataang_Pinakbet_with_lambay%28crab%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Chammy17,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,3456,5184,Pinakbet with lambay(crab),
33,Ginataang tulingan with kangkong,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Ginataang tulingan with kangkong.jpg,https://commons.wikimedia.org/wiki/File:Ginataang_tulingan_with_kangkong.jpg,https://upload.wikimedia.org/wikipedia/commons/3/36/Ginataang_tulingan_with_kangkong.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/36/Ginataang_tulingan_with_kangkong.jpg/960px-Ginataang_tulingan_with_kangkong.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Chammy17,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,5184,3456,Ginataang tulingan with kangkong,
34,Graceland's Pinangat & Lumpiang Shanghai 01,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Graceland's Pinangat & Lumpiang Shanghai 01.jpg,https://commons.wikimedia.org/wiki/File:Graceland%27s_Pinangat_%26_Lumpiang_Shanghai_01.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2f/Graceland%27s_Pinangat_%26_Lumpiang_Shanghai_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2f/Graceland%27s_Pinangat_%26_Lumpiang_Shanghai_01.jpg/960px-Graceland%27s_Pinangat_%26_Lumpiang_Shanghai_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,ShmilyDigital,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,6000,4000,Graceland's Pinangat & Lumpiang Shanghai,
