meal_name,meal_type,asset_key,fallback_category,preferred_search_query,assignment_status,selected_source_page_url,selected_source_title,display_label_when_representative,review_notes
Tofu Sweet Potato Cucumber Plate,LUNCH,meal/tofu-sweet-potato-cucumber-plate,plant-based,tofu rice bowl food,UNASSIGNED,,,Representative image,
Egg Potato and Pechay Bowl,LUNCH,meal/egg-potato-and-pechay-bowl,poultry-and-egg,egg rice Filipino food,UNASSIGNED,,,Representative image,
Chicken Vegetable Rice Soup Bowl,DINNER,meal/chicken-vegetable-rice-soup-bowl,poultry-and-egg,chicken rice bowl food,UNASSIGNED,,,Representative image,
Beef Potato and Pechay Bowl,DINNER,meal/beef-potato-and-pechay-bowl,red-meat,beef rice bowl food,UNASSIGNED,,,Representative image,
Pork Squash Rice Bowl,DINNER,meal/pork-squash-rice-bowl,red-meat,pork rice bowl food,UNASSIGNED,,,Representative image,
Milkfish and Sweet Potato Plate,DINNER,meal/milkfish-and-sweet-potato-plate,seafood,bangus Filipino food,UNASSIGNED,,,Representative image,
Tilapia Corn and Vegetable Plate,DINNER,meal/tilapia-corn-and-vegetable-plate,seafood,tilapia Filipino food,UNASSIGNED,,,Representative image,
Tuna Potato Salad Bowl,DINNER,meal/tuna-potato-salad-bowl,seafood,tuna rice bowl food,UNASSIGNED,,,Representative image,
Munggo Squash Rice Bowl,DINNER,meal/munggo-squash-rice-bowl,plant-based,ginisang munggo Filipino food,UNASSIGNED,,,Representative image,
Tofu Cabbage Rice Bowl,DINNER,meal/tofu-cabbage-rice-bowl,plant-based,tofu rice bowl food,UNASSIGNED,,,Representative image,
Sardines Sweet Potato and Pechay Plate,DINNER,meal/sardines-sweet-potato-and-pechay-plate,seafood,sardines rice Filipino food,UNASSIGNED,,,Representative image,
Chicken Corn Tomato Rice Bowl,DINNER,meal/chicken-corn-tomato-rice-bowl,poultry-and-egg,chicken rice bowl food,UNASSIGNED,,,Representative image,
Tofu Sweet Potato Pechay Plate,DINNER,meal/tofu-sweet-potato-pechay-plate,plant-based,tofu rice bowl food,UNASSIGNED,,,Representative image,
Munggo Cabbage Tomato Soup Bowl,DINNER,meal/munggo-cabbage-tomato-soup-bowl,plant-based,ginisang munggo Filipino food,UNASSIGNED,,,Representative image,
Corn Tofu Tomato Dinner Bowl,DINNER,meal/corn-tofu-tomato-dinner-bowl,plant-based,tofu rice bowl food,UNASSIGNED,,,Representative image,
Egg Potato Cabbage Dinner Plate,DINNER,meal/egg-potato-cabbage-dinner-plate,poultry-and-egg,egg rice Filipino food,UNASSIGNED,,,Representative image,
Tofu Pechay Rice Soup Bowl,DINNER,meal/tofu-pechay-rice-soup-bowl,plant-based,tofu rice bowl food,UNASSIGNED,,,Representative image,
Tofu Papaya and Sweet Potato Breakfast,BREAKFAST,meal/tofu-papaya-and-sweet-potato-breakfast,plant-based,tofu rice bowl food,UNASSIGNED,,,Representative image,
Munggo Sweet Potato Breakfast Bowl,BREAKFAST,meal/munggo-sweet-potato-breakfast-bowl,plant-based,ginisang munggo Filipino food,UNASSIGNED,,,Representative image,
Tofu Squash Potato Lunch Plate,LUNCH,meal/tofu-squash-potato-lunch-plate,plant-based,tofu rice bowl food,UNASSIGNED,,,Representative image,
Munggo Pechay Sweet Potato Bowl,LUNCH,meal/munggo-pechay-sweet-potato-bowl,plant-based,ginisang munggo Filipino food,UNASSIGNED,,,Representative image,
Tofu Kangkong Potato Dinner Bowl,DINNER,meal/tofu-kangkong-potato-dinner-bowl,plant-based,tofu rice bowl food,UNASSIGNED,,,Representative image,
Munggo Squash Sweet Potato Dinner Bowl,DINNER,meal/munggo-squash-sweet-potato-dinner-bowl,plant-based,ginisang munggo Filipino food,UNASSIGNED,,,Representative image,
Tokwa Ampalaya Rice Bowl,LUNCH,meal/tokwa-ampalaya-rice-bowl,plant-based,tokwa Filipino tofu food,UNASSIGNED,,,Representative image,
Tokwa Sayote and Sitaw Dinner Plate,DINNER,meal/tokwa-sayote-and-sitaw-dinner-plate,plant-based,tokwa Filipino tofu food,UNASSIGNED,,,Representative image,
